content_id,avg_used_time
0,22903749
1,20559200
2,35305669
3,35088131
4,15134404
5,18517612
6,18675973
7,32560704
8,35226689
9,25166102
10,47805045
11,28649240
12,46973449
13,47196598
14,31100839
15,33582070
16,24717490
17,24918983
18,30218250
19,23930261
20,24188865
21,17574471
22,19712848
23,12691133
24,20254869
25,10155683
26,16570045
27,24782543
28,21128069
29,17445046
30,16546404
31,30177003
32,22384153
33,36471994
34,18539214
35,18234963
36,24580065
37,36602912
38,27463047
39,26503659
40,21232123
41,31443444
42,39596157
43,30070441
44,33214557
45,19444204
46,45198407
47,16555046
48,15254640
49,13383591
50,14055407
51,17570535
52,31159728
53,29281673
54,17827750
55,13471514
56,32569874
57,33739513
58,16188870
59,28913231
60,17541651
61,25347900
62,22745445
63,27741048
64,38239858
65,30622680
66,33914291
67,28890193
68,32908627
69,6660953
70,43279901
71,24182134
72,23730924
73,17929489
74,21161868
75,23871916
76,24241531
77,25183556
78,20794132
79,26664937
80,16080211
81,39093603
82,14625858
83,35681340
84,27765865
85,47347971
86,19116487
87,17450852
88,14794984
89,34281332
90,35782066
91,29133533
92,13938997
93,28017809
94,30648670
95,16599291
96,10709325
97,20978744
98,30086806
99,49196983
100,1669230
101,16348520
102,22443338
103,15437732
104,11038922
105,12986634
106,32179372
107,33664905
108,4146015
109,30440155
110,41029965
111,29077428
112,35073086
113,22052364
114,20622920
115,23516142
116,18838663
117,40256592
118,14609133
119,47527755
120,27360016
121,35251108
122,20335008
123,15972976
124,16495481
125,26966244
126,25182720
127,53559509
128,23337844
129,34188090
130,31571297
131,43817774
132,22819822
133,29325614
134,25308961
135,44953116
136,37090965
137,12896174
138,31978560
139,41208238
140,36532766
141,33491122
142,23098307
143,15628748
144,33663409
145,17572814
146,34431913
147,10156173
148,28448958
149,29753769
150,19669887
151,36500119
152,10497156
153,30303931
154,16180132
155,35893655
156,9289107
157,31045719
158,31620574
159,14634829
160,24731485
161,21054962
162,21169630
163,32631833
164,16630377
165,27863960
166,20683832
167,36928982
168,22497506
169,32166653
170,26436108
171,29683609
172,10407443
173,40421008
174,26913781
175,37821940
176,20657530
177,19256001
178,37070361
179,26470940
180,19794362
181,23040312
182,28919583
183,13591498
184,48905439
185,25425184
186,27264493
187,36757228
188,24301261
189,30683207
190,34941224
191,42181864
192,22696319
193,37477685
194,25346266
195,21268011
196,51710947
197,32933535
198,17202391
199,21829841
200,21278703
201,12552515
202,27520480
203,27040260
204,26637320
205,16344430
206,1677360
207,25356705
208,23351393
209,14958192
210,3828109
211,22827772
212,35425496
213,15900032
214,23263704
215,19131634
216,18799289
217,30727666
218,14799049
219,22069919
220,26416368
221,12805831
222,8659109
223,17420513
224,17856068
225,44156926
226,33904278
227,10718495
228,9102552
229,27978865
230,13000917
231,12380451
232,38141809
233,737540
234,20127665
235,25984651
236,24135288
237,17958440
238,245235
239,10558790
240,24954405
241,18362844
242,24387405
243,1870164
244,16442664
245,21909800
246,16352686
247,38231147
248,26832232
249,23073117
250,19668049
251,20856449
252,20790994
253,23822388
254,18231006
255,15591404
256,1300779
257,1816910
258,23218905
259,15653774
